Date,Total,East,West
10-02-2012 13:00,55,48,7
10-02-2012 14:00,130,75,55
10-02-2012 15:00,152,71,81
10-02-2012 16:00,278,111,167
10-02-2012 17:00,563,170,393
10-02-2012 18:00,381,145,236
10-02-2012 19:00,175,71,104
10-02-2012 20:00,86,35,51
10-02-2012 21:00,63,28,35
10-02-2012 22:00,42,15,27
10-02-2012 23:00,13,4,9
10-03-2012 00:00,13,4,9
10-03-2012 01:00,10,4,6
10-03-2012 02:00,2,1,1
10-03-2012 03:00,5,2,3
10-03-2012 04:00,7,6,1
10-03-2012 05:00,31,21,10
10-03-2012 06:00,155,105,50
10-03-2012 07:00,352,257,95
10-03-2012 08:00,437,291,146
10-03-2012 09:00,276,172,104
10-03-2012 10:00,118,72,46
10-03-2012 11:00,42,10,32
10-03-2012 12:00,76,35,41
10-03-2012 13:00,90,42,48
10-03-2012 14:00,128,77,51
10-03-2012 15:00,164,72,92
10-03-2012 16:00,315,133,182
10-03-2012 17:00,583,192,391
10-03-2012 18:00,380,122,258
10-03-2012 19:00,128,59,69
10-03-2012 20:00,80,29,51
10-03-2012 21:00,63,25,38
10-03-2012 22:00,49,24,25
10-03-2012 23:00,17,5,12
10-04-2012 00:00,18,7,11
10-04-2012 01:00,3,3,0
10-04-2012 02:00,9,3,6
10-04-2012 03:00,3,0,3
10-04-2012 04:00,8,7,1
10-04-2012 05:00,26,15,11
10-04-2012 06:00,142,91,51
10-04-2012 07:00,319,230,89
10-04-2012 08:00,418,284,134
10-04-2012 09:00,241,147,94
10-04-2012 10:00,120,67,53
10-04-2012 11:00,108,53,55
10-04-2012 12:00,104,54,50
10-04-2012 13:00,126,55,71
10-04-2012 14:00,119,63,56
10-04-2012 15:00,147,73,74
10-04-2012 16:00,275,114,161
10-04-2012 17:00,507,154,353
10-04-2012 18:00,378,137,241
10-04-2012 19:00,164,57,107
10-04-2012 20:00,83,27,56
10-04-2012 21:00,70,31,39
10-04-2012 22:00,46,25,21
10-04-2012 23:00,41,11,30
10-05-2012 00:00,11,4,7
10-05-2012 01:00,8,4,4
10-05-2012 02:00,7,4,3
10-05-2012 03:00,4,2,2
10-05-2012 04:00,9,7,2
10-05-2012 05:00,25,18,7
10-05-2012 06:00,105,68,37
10-05-2012 07:00,319,218,101
10-05-2012 08:00,370,251,119
10-05-2012 09:00,212,131,81
10-05-2012 10:00,119,71,48
10-05-2012 11:00,104,43,61
10-05-2012 12:00,101,55,46
10-05-2012 13:00,112,62,50
10-05-2012 14:00,125,63,62
10-05-2012 15:00,164,80,84
10-05-2012 16:00,310,120,190
10-05-2012 17:00,434,144,290
10-05-2012 18:00,316,107,209
10-05-2012 19:00,115,42,73
10-05-2012 20:00,68,27,41
10-05-2012 21:00,42,11,31
10-05-2012 22:00,36,10,26
10-05-2012 23:00,32,16,16
10-06-2012 00:00,15,8,7
10-06-2012 01:00,15,10,5
10-06-2012 02:00,9,7,2
10-06-2012 03:00,3,1,2
10-06-2012 04:00,5,4,1
10-06-2012 05:00,5,3,2
10-06-2012 06:00,27,12,15
10-06-2012 07:00,33,17,16
10-06-2012 08:00,105,58,47
10-06-2012 09:00,114,59,55
10-06-2012 10:00,115,68,47
10-06-2012 11:00,124,76,48
10-06-2012 12:00,164,91,73
10-06-2012 13:00,177,95,82
10-06-2012 14:00,203,89,114
10-06-2012 15:00,211,115,96
10-06-2012 16:00,183,107,76
10-06-2012 17:00,180,107,73
10-06-2012 18:00,96,41,55
10-06-2012 19:00,78,40,38
10-06-2012 20:00,43,25,18
10-06-2012 21:00,33,18,15
10-06-2012 22:00,34,14,20
10-06-2012 23:00,34,15,19
10-07-2012 00:00,11,6,5
10-07-2012 01:00,17,12,5
10-07-2012 02:00,3,2,1
10-07-2012 03:00,6,4,2
10-07-2012 04:00,3,1,2
10-07-2012 05:00,9,6,3
10-07-2012 06:00,17,9,8
10-07-2012 07:00,26,14,12
10-07-2012 08:00,69,43,26
10-07-2012 09:00,103,67,36
10-07-2012 10:00,108,67,41
10-07-2012 11:00,165,94,71
10-07-2012 12:00,191,100,91
10-07-2012 13:00,228,129,99
10-07-2012 14:00,241,126,115
10-07-2012 15:00,231,122,109
10-07-2012 16:00,225,132,93
10-07-2012 17:00,191,118,73
10-07-2012 18:00,113,68,45
10-07-2012 19:00,49,26,23
10-07-2012 20:00,55,19,36
10-07-2012 21:00,47,12,35
10-07-2012 22:00,18,9,9
10-07-2012 23:00,16,5,11
10-08-2012 00:00,9,4,5
10-08-2012 01:00,4,2,2
10-08-2012 02:00,5,5,0
10-08-2012 03:00,5,1,4
10-08-2012 04:00,5,3,2
10-08-2012 05:00,23,16,7
10-08-2012 06:00,137,89,48
10-08-2012 07:00,327,233,94
10-08-2012 08:00,457,304,153
10-08-2012 09:00,278,174,104
10-08-2012 10:00,97,53,44
10-08-2012 11:00,99,55,44
10-08-2012 12:00,108,53,55
10-08-2012 13:00,96,52,44
10-08-2012 14:00,121,59,62
10-08-2012 15:00,167,92,75
10-08-2012 16:00,252,117,135
10-08-2012 17:00,604,214,390
10-08-2012 18:00,365,139,226
10-08-2012 19:00,168,73,95
10-08-2012 20:00,94,37,57
10-08-2012 21:00,63,28,35
10-08-2012 22:00,29,15,14
10-08-2012 23:00,24,11,13
10-09-2012 00:00,12,8,4
10-09-2012 01:00,3,1,2
10-09-2012 02:00,4,2,2
10-09-2012 03:00,8,5,3
10-09-2012 04:00,9,4,5
10-09-2012 05:00,31,22,9
10-09-2012 06:00,153,103,50
10-09-2012 07:00,368,258,110
10-09-2012 08:00,462,317,145
10-09-2012 09:00,275,163,112
10-09-2012 10:00,94,58,36
10-09-2012 11:00,74,29,45
10-09-2012 12:00,77,37,40
10-09-2012 13:00,83,46,37
10-09-2012 14:00,108,54,54
10-09-2012 15:00,134,62,72
10-09-2012 16:00,244,95,149
10-09-2012 17:00,597,197,400
10-09-2012 18:00,396,152,244
10-09-2012 19:00,163,58,105
10-09-2012 20:00,85,32,53
10-09-2012 21:00,64,30,34
10-09-2012 22:00,34,17,17
10-09-2012 23:00,23,9,14
10-10-2012 00:00,15,8,7
10-10-2012 01:00,3,1,2
10-10-2012 02:00,3,3,0
10-10-2012 03:00,4,1,3
10-10-2012 04:00,5,3,2
10-10-2012 05:00,25,16,9
10-10-2012 06:00,149,109,40
10-10-2012 07:00,340,245,95
10-10-2012 08:00,435,302,133
10-10-2012 09:00,255,156,99
10-10-2012 10:00,97,53,44
10-10-2012 11:00,55,34,21
10-10-2012 12:00,87,47,40
10-10-2012 13:00,94,46,48
10-10-2012 14:00,93,54,39
10-10-2012 15:00,130,65,65
10-10-2012 16:00,230,102,128
10-10-2012 17:00,532,155,377
10-10-2012 18:00,331,116,215
10-10-2012 19:00,145,51,94
10-10-2012 20:00,86,30,56
10-10-2012 21:00,62,24,38
10-10-2012 22:00,36,17,19
10-10-2012 23:00,23,10,13
10-11-2012 00:00,21,7,14
10-11-2012 01:00,10,4,6
10-11-2012 02:00,13,8,5
10-11-2012 03:00,2,0,2
10-11-2012 04:00,12,11,1
10-11-2012 05:00,12,0,12
10-11-2012 06:00,43,2,41
10-11-2012 07:00,304,225,79
10-11-2012 08:00,404,282,122
10-11-2012 09:00,189,141,48
10-11-2012 10:00,4,4,0
10-11-2012 11:00,92,87,5
10-11-2012 12:00,81,44,37
10-11-2012 13:00,118,60,58
10-11-2012 14:00,108,52,56
10-11-2012 15:00,143,74,69
10-11-2012 16:00,270,135,135
10-11-2012 17:00,517,157,360
10-11-2012 18:00,299,113,186
10-11-2012 19:00,149,57,92
10-11-2012 20:00,104,44,60
10-11-2012 21:00,71,26,45
10-11-2012 22:00,48,29,19
10-11-2012 23:00,33,17,16
10-12-2012 00:00,17,8,9
10-12-2012 01:00,13,7,6
10-12-2012 02:00,5,4,1
10-12-2012 03:00,7,4,3
10-12-2012 04:00,5,2,3
10-12-2012 05:00,14,10,4
10-12-2012 06:00,87,57,30
10-12-2012 07:00,183,125,58
10-12-2012 08:00,268,182,86
10-12-2012 09:00,145,100,45
10-12-2012 10:00,62,33,29
10-12-2012 11:00,58,27,31
10-12-2012 12:00,69,41,28
10-12-2012 13:00,72,39,33
10-12-2012 14:00,65,35,30
10-12-2012 15:00,113,50,63
10-12-2012 16:00,165,69,96
10-12-2012 17:00,304,92,212
10-12-2012 18:00,178,66,112
10-12-2012 19:00,79,30,49
10-12-2012 20:00,38,11,27
10-12-2012 21:00,26,10,16
10-12-2012 22:00,14,11,3
